year,month,day,dayoftheweek,time,type1,type2,type3,title,eventtitle,prefecture,place,with,info
2012,7,14,土,10:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,東京,ゲーマーズ池袋店,ゲーマーズ,
2012,7,14,土,14:00,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,東京,アニメイト新宿店,アニメイト,
2012,7,14,土,17:00,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,東京,AKIHABARAゲーマーズ本店 8F,ゲーマーズ,
2012,7,15,日,10:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,静岡,アニメイト静岡店,アニメイト,
2012,7,15,日,14:00,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,静岡,アニメイト浜松店,アニメイト,
2012,7,15,日,17:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,愛知,コミックとらのあな名古屋店,とらのあな,
2012,7,18,水,,歩み,,,メジャーデビュー,,,,,
2012,7,18,水,,リリース,CD,シングル,Raise,,,,,
2012,7,21,土,10:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,京都,コミックとらのあな京都店,とらのあな,
2012,7,21,土,14:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,大阪,アニメイト日本橋店,アニメイト,
2012,7,21,土,18:00,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,兵庫,ゲーマーズ神戸三宮店,ゲーマーズ,
2012,7,21,土,18:45,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,兵庫,コミックとらのあな三宮店,とらのあな,
2012,7,21,土,19:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,兵庫,アニメイト三宮店,アニメイト,
2012,7,22,日,10:30,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,岡山,アニメイト岡山店,アニメイト,
2012,7,22,日,13:45,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,広島,アニメイト広島店,アニメイト,
2012,7,22,日,17:00,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,福岡,アニメイト小倉店,アニメイト,
2012,7,22,日,18:00,特典会,CD,シングル,Raise,「小倉唯、会いに行くよ。～Road to 小倉～」,福岡,ゲーマーズ小倉店,ゲーマーズ,
2012,8,15,水,,ライブ,,,小倉唯BIRTHDAY SPECIALミニライブ～SEVENTEEN!,昼公演,神奈川,横浜ベイホール,,
2012,8,15,水,,ライブ,,,小倉唯BIRTHDAY SPECIALミニライブ～SEVENTEEN!,夜公演,神奈川,横浜ベイホール,,
2013,3,24,日,,ライブ,,,ブシロードカードゲームライブ2013,,大阪,グランキューブ大阪,,
2013,5,6,月,10:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,東京,アニメイト立川店,アニメイト,
2013,5,6,月,13:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,東京,ゲーマーズ新宿店,ゲーマーズ,
2013,5,6,月,16:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,東京,とらのあな秋葉原イベントスペース,とらのあな,
2013,5,6,月,19:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,千葉,アニメイト津田沼店・ゲーマーズ津田沼店,アニメイト,
2013,5,8,水,,リリース,CD,シングル,Baby Sweet Berry Love,,,,,
2013,5,12,日,11:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,大阪,アニメイト天王寺店,アニメイト,
2013,5,12,日,13:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,大阪,ゲーマーズなんば店,ゲーマーズ,
2013,5,12,日,17:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,愛知,アニメイト名古屋店,アニメイト,
2013,5,12,日,19:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,愛知,ゲーマーズ名古屋店,ゲーマーズ,
2013,5,19,日,10:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,東京,アニメイト池袋本店,アニメイト,
2013,5,19,日,14:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,埼玉,アニメイト大宮店,アニメイト,
2013,5,19,日,17:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,群馬,アニメイト高崎店,アニメイト,
2013,5,26,日,10:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,宮城,ゲーマーズ仙台店,ゲーマーズ,
2013,5,26,日,12:00,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,宮城,アニメイト仙台店,アニメイト,
2013,5,26,日,15:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,福島,アニメイト郡山店,アニメイト,
2013,5,26,日,18:30,特典会,CD,シングル,Baby Sweet Berry Love,「小倉唯、会いに行くよ。」,栃木,アニメイト宇都宮店,アニメイト,
2013,8,25,日,,ライブ,フェス,アニサマ,Animelo Summer Live 2013,,埼玉,さいたまスーパーアリーナ,,
2013,9,16,月,,歩み,事務所移籍,,シグマ・セブンeに移籍,,,,,
2014,1,29,水,,リリース,CD,シングル,Charming Do!,,,,,
2014,2,8,土,13:00,特典会,CD,シングル,Charming Do!,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2014,2,8,土,14:30,特典会,CD,シングル,Charming Do!,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2014,2,8,土,16:00,特典会,CD,シングル,Charming Do!,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2014,2,9,日,13:30,特典会,CD,シングル,Charming Do!,,東京,とらのあな秋葉原店C,とらのあな,
2014,2,9,日,16:00,特典会,CD,シングル,Charming Do!,,東京,とらのあな秋葉原店C,とらのあな,
2014,2,15,土,12:30,特典会,CD,シングル,Charming Do!,,東京,アニメイト池袋本店,アニメイト,
2014,2,15,土,15:00,特典会,CD,シングル,Charming Do!,,東京,アニメイト池袋本店,アニメイト,
2014,2,15,土,18:30,特典会,CD,シングル,Charming Do!,,東京,アニメイト池袋本店,アニメイト,大雪に伴う追加公演
2014,6,6,金,,リリース,書籍,写真集,yui memory,,,,学研パブリッシング,
2014,6,22,日,XX:XX,特典会,写真集,,yui memory,,東京,某所,アニメイト,
2014,6,22,日,XX:XX,特典会,写真集,,yui memory,,東京,某所,ゲーマーズ,
2014,6,22,日,XX:XX,特典会,写真集,,yui memory,,東京,某所,とらのあな,
2014,8,13,水,,リリース,CD,シングル,Tinkling Smile,,,,,
2014,8,31,日,,ライブ,フェス,アニサマ,Animelo Summer Live 2014,,埼玉,さいたまスーパーアリーナ,,
2014,9,14,日,11:30,特典会,CD,シングル,Tinkling Smile,,東京,東京セミナー学院,アニメイト,
2014,9,14,日,14:00,特典会,CD,シングル,Tinkling Smile,,東京,東京セミナー学院,アニメイト,
2014,9,14,日,17:30,特典会,CD,シングル,Tinkling Smile,,東京,とらのあな秋葉原店C,とらのあな,
2014,9,20,土,13:00,特典会,CD,シングル,Tinkling Smile,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2014,9,20,土,15:00,特典会,CD,シングル,Tinkling Smile,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2014,9,20,土,17:00,特典会,CD,シングル,Tinkling Smile,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2014,9,21,日,13:15,特典会,CD,シングル,Tinkling Smile,,大阪,ゲーマーズなんば店,ゲーマーズ,
2014,9,21,日,18:00,特典会,CD,シングル,Tinkling Smile,,愛知,第3太閤ビル,アニメイト,
2015,3,25,水,,リリース,CD,アルバム,Strawberry JAM,,,,,
2015,3,25,水,19:00,特典会,CD,アルバム,Strawberry JAM,,東京,アニメイト新宿店,アニメイト,
2015,3,29,日,11:00,特典会,CD,アルバム,Strawberry JAM,,東京,某所,とらのあな,
2015,3,29,日,13:00,特典会,CD,アルバム,Strawberry JAM,,東京,某所,ゲーマーズ,
2015,3,29,日,15:00,特典会,CD,アルバム,Strawberry JAM,,東京,某所,ゲーマーズ,
2015,4,,,,歩み,事務所移籍,,シグマ・セブンへ移籍,,,,,
2015,6,20,土,,ライブ,フェス,キンスパ,KING SUPER LIVE 2015,,埼玉,さいたまスーパーアリーナ,,
2015,6,21,日,,ライブ,フェス,キンスパ,KING SUPER LIVE 2016,,埼玉,さいたまスーパーアリーナ,,
2015,7,5,日,,ライブ,ワンマン,,HAPPY JAM,昼公演,神奈川,パシフィコ横浜,,
2015,7,5,日,,ライブ,ワンマン,,HAPPY JAM,夜公演,神奈川,パシフィコ横浜,,
2015,8,12,水,,リリース,CD,シングル,Honey?Come!!,,,,,
2015,8,30,日,,ライブ,フェス,アニサマ,Animelo Summer Live 2015,,埼玉,さいたまスーパーアリーナ,,
2015,9,6,日,11:00,特典会,CD,シングル,Honey?Come!!,,東京,八王子某所,アニメイト,
2015,9,6,日,14:30,特典会,CD,シングル,Honey?Come!!,,東京,廣瀬無線,ゲーマーズ,
2015,9,6,日,16:30,特典会,CD,シングル,Honey?Come!!,,東京,廣瀬無線,ゲーマーズ,
2015,9,6,日,18:30,特典会,CD,シングル,Honey?Come!!,,東京,廣瀬無線,とらのあな,
2015,9,13,日,11:00,特典会,CD,シングル,Honey?Come!!,,石川,アニメイト金沢,アニメイト,
2015,9,13,日,17:30,特典会,CD,シングル,Honey?Come!!,,大阪,アニメイト大阪日本橋,アニメイト,
2015,12,23,水,,リリース,DVD,,小倉唯 LIVE「HAPPY JAM」,,,,,
2016,1,1,金,,歩み,事務所移籍,,クレアボイスへ移籍,,,,,
2016,4,6,水,,歩み,出身地,,桐生警察署一日警察署長,,,,,
2016,5,18,水,,リリース,CD,シングル,ハイタッチ☆メモリー,,,,,
2016,6,5,日,12:00,特典会,CD,シングル,ハイタッチ☆メモリー,「トーク＆ハイタッチ会」,宮城,仙台駅前EBeanS,ゲーマーズ,
2016,6,5,日,14:00,特典会,CD,シングル,ハイタッチ☆メモリー,「メモリー(ポスター)」,宮城,仙台駅前EBeanS,アニメイト,
2016,6,12,日,11:00,特典会,CD,シングル,ハイタッチ☆メモリー,「トーク＆ハイタッチ会」,大阪,ゲーマーズなんば店,ゲーマーズ,
2016,6,12,日,13:30,特典会,CD,シングル,ハイタッチ☆メモリー,「メモリー(ポスター)」,大阪,アニメイト大阪日本橋,アニメイト,
2016,6,12,日,17:30,特典会,CD,シングル,ハイタッチ☆メモリー,「メモリー(ポスター)」,愛知,第3太閤ビル,アニメイト,
2016,6,12,日,19:15,特典会,CD,シングル,ハイタッチ☆メモリー,「トーク＆ハイタッチ会」,愛知,第3太閤ビル,アニメイト,
2016,6,19,日,11:30,特典会,CD,シングル,ハイタッチ☆メモリー,「メモリー(ポスター)」,東京,某所,とらのあな,
2016,6,19,日,13:30,特典会,CD,シングル,ハイタッチ☆メモリー,「メモリー(ポスター)」,東京,某所,ゲーマーズ,
2016,6,19,日,15:30,特典会,CD,シングル,ハイタッチ☆メモリー,「トーク＆ハイタッチ会」,東京,某所,ゲーマーズ,
2016,6,19,日,17:45,特典会,CD,シングル,ハイタッチ☆メモリー,「トーク＆ハイタッチ会」,東京,某所,アニメイト,
2016,6,24,金,,リリース,書籍,写真集,ゆいはたち,,,,東京ニュース通信社,
2016,7,9,土,,ライブ,ワンマン,ツアー,High-Touch☆Summer,,千葉,幕張メッセ,,
2016,7,10,日,,ライブ,ワンマン,ツアー,High-Touch☆Summer,,千葉,幕張メッセ,,
2016,7,17,日,,ライブ,ワンマン,ツアー,High-Touch☆Summer,,愛知,一宮市民会館,,
2016,8,6,土,,ライブ,ワンマン,ツアー,High-Touch☆Summer,,大阪,オリックス劇場,,
2016,8,14,日,,ライブ,ワンマン,ツアー,High-Touch☆Summer,,群馬,桐生市市民文化会館,,
2016,8,20,土,XX:XX,特典会,書籍,写真集,ゆいはたち,,東京,某所,アニメイト,
2016,8,20,土,XX:XX,特典会,書籍,写真集,ゆいはたち,,東京,某所,ゲーマーズ,
2016,8,20,土,XX:XX,特典会,書籍,写真集,ゆいはたち,,東京,某所,とらのあな,
2016,8,28,日,,ライブ,フェス,アニサマ,Animelo Summer Live 2016,,埼玉,さいたまスーパーアリーナ,,
2016,10,14,金,,歩み,出身地,,みどり市の観光大使に就任,,,,,
2016,11,2,水,,リリース,CD,シングル,Future Strike,,,,,
2016,11,20,日,11:30,特典会,CD,シングル,Future Strike,,東京,アニメイト池袋本店,アニメイト,
2016,11,20,日,15:00,特典会,CD,シングル,Future Strike,,東京,とらのあな秋葉原C,とらのあな,
2016,11,20,日,18:00,特典会,CD,シングル,Future Strike,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2016,11,26,土,10:30,特典会,CD,シングル,Future Strike,,愛知,とらのあな名古屋店,とらのあな,
2016,11,26,土,13:30,特典会,CD,シングル,Future Strike,,愛知,某所,アニメイト,
2016,11,26,土,18:00,特典会,CD,シングル,Future Strike,,大阪,アニメイト大阪日本橋,アニメイト,
